DIRECTORIO;HOGAR_NUMERO;PERSONA_NUMERO;P6240;P203;P203S1;P5355;P5355S1;P5355S2;P204S1;P204S2;P204S3;P204S4;P204S5;P204S6;P204S7;P204S9;P204S8;P5360;P5360S1;P5361;P5361S1;P5361S2;P272S1;P272S2;P272S3;P272S4;P272S5;P272S6;P272S7;P272S8;P5366;P5366S1;P5367;P5367S1;P5367S2;P206S1;P206S2;P206S3;P206S4;P206S5;P206S6;P206S7;P206S8;P5371;P5371S1;P5372;P5372S1;P5372S2;P207S1;P207S2;P207S3;P207S4;P207S5;P207S6;P207S7;P207S8;P5377;P5377S1;P5378S1;P5378S2;P5378S3;P5378S4;P5378S5;P5378S6;P5378S7;P5378S8;P5378S9
3075395;1;4;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075396;1;1;1;1;450000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075396;1;2;1;1;150000;2; ; ;1;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075396;1;3;1;1;600000;2; ; ;1;2;1;1;2;2;2;2;2;2; ;2; ; ;1;2;1;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;1;2;2;2;1;2;2
3075397;1;1;1;99; ;2; ; ;2;2;2;2;2;2;1;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;1;2;2;2;2;2;1;2;2
3075397;1;2;3;2; ;2; ; ;2;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075398;1;1;4;99; ;1;1;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2;2;2;2;2;2;1;2;2
3075398;1;2;2;99; ;2; ; ;2;1;2;2;2;2;1;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075399;1;1;1;99; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;1;2;2
3075399;1;2;1;1;350000;2; ; ;1;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;1;1;2
3075399;1;3;2;2; ;2; ; ;1;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;1;1;2
3075399;1;4;3;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;1;2;2;1;2;2;2; ;2;2;2;2;2;2;1;1;2
3075400;1;1;1;99; ;2; ; ;2;1;2;2;2;1;1;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;1;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075400;1;2;2;2; ;2; ; ;2;2;2;2;2;1;1;2;2;2; ;2; ; ;2;2;2;1;2;2;1;2;2; ;2; ; ;2;2;1;1;2;1;2;2;2; ;2; ; ;2;2;1;1;2;1;2;2;2; ;2;2;2;2;2;2;2;2;2
3075401;1;1;2;99; ;2; ; ;2;2;2;2;2;2;1;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075401;1;2;4;99; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;2;2;2;2;2;1;2;2
3075403;1;1;1;99; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3075403;1;2;1;1;1200000;2; ; ;2;1;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;1;2;2
3075403;1;3;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;2;1;2;2
3075403;1;4;3;2; ;2; ; ;2;1;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075405;1;1;5;1;150000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;1;1;2
3075405;1;2;1;1;300000;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;1;2;2
3075406;1;1;5;2; ;2; ; ;2;2;2;1;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;1;2;2;1;2;2; ;2; ; ;2;2;2;1;2;2;1;2;2; ;2;2;1;2;2;2;2;2;2
3075406;1;2;1;1;1500000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;1;2;1;2;2; ;2;2;1;2;2;2;2;2;2
3075406;1;3;1;1;800000;2; ; ;2;1;1;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;1;2;1;2;1;2;2; ;2; ; ;2;1;2;2;1;2;2;2;2; ;2;2;1;2;2;2;1;2;2
3075406;1;4;1;1;1200000;2; ; ;2;1;2;1;2;2;2;2;2;2; ;1;3;1; ; ; ; ; ; ; ; ;1;150000;1;4;1; ; ; ; ; ; ; ; ;1;30000;2; ; ;1;2;2;2;1;2;1;2;2; ;2;2;1;2;1;1;1;2;1
3075406;1;5;3;2; ;2; ; ;1;1;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;1;2;2;1;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2;2;2;2;1;2;2;2;2
3075407;1;1;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;1;3;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;2;1;2;2;2
3075407;1;2;4;99; ;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;1;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075407;1;3;1;99; ;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075407;1;4;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;1;2;1;2;2;2;2
3075407;1;5;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;1;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;1;2;2;2;2;2;2
3075407;1;6;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075408;1;1;4;99; ;2; ; ;2;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;1;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075409;1;1;1;1;800000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;1;80000;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;1;2;2;2;2;2;2
3075409;1;2;4;2; ;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075409;1;3;3;2; ;1;3;1; ; ; ; ; ; ; ; ; ;1;10000;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075409;1;4;3;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075410;1;1;1;99; ;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;1;2;2;2;2
3075410;1;2;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;2; ;2;1;1;2;1;2;2;1;2
3075410;1;6;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;1;2;2;2;2
3075410;1;7;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;1;2;2;2;2
3075411;1;1;1;1;900000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;1;60000;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;1;1;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;1
3075411;1;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;1;4;2; ; ; ; ; ; ; ; ;1;55000;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;1
3075411;1;5;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;1;3;1; ; ; ; ; ; ; ; ;1;50000;2; ; ;2;1;2;2;1;2;2;2;2; ;2; ; ;1;1;2;2;2;1;2;2;2; ;2;2;1;2;2;2;2;2;2
3075412;1;1;4;1;981000;1;2;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;1;2;2;1;2;2;2
3075413;1;1;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;2;2;2;1
3075413;1;2;1;1;850000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;1
3075415;1;1;5;1;900000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075415;1;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075415;1;3;2;1;1400000;1;5;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075416;1;1;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075416;1;2;4;2; ;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075416;1;3;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075416;1;4;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;1;2;2;2;2
3075417;1;1;1;1;2200000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;1;2;2;1;2;2;2
3075417;1;2;4;2; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075417;1;3;3;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;1;2;2;1;2;2;1
3075417;1;4;5;2; ;2; ; ;2;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3075418;1;1;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;1;2;1; ; ; ; ; ; ; ; ;2; ;1;2;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;1
3075419;1;1;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;1;2;1;2;2;2;2
3075419;1;2;1;99; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075419;1;3;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;1;2;1;2;2;2;2
3075419;1;4;3;2; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;1;2;1;2;2;2;2
3075419;1;5;3;2; ;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;1;2;2;2; ;2;2;1;2;2;2;2;2;2
3075420;1;1;4;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075421;1;1;1;1;780000;1;5;2; ; ; ; ; ; ; ; ; ;1;32000;2; ; ;2;2;2;2;1;1;1;2;2; ;2; ; ;1;2;2;2;1;2;1;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2;2;1;2;2;2;2;2;2
3075421;1;2;4;2; ;1;5;2; ; ; ; ; ; ; ; ; ;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;1;1;2;2;2;2;2;2; ;2;2;1;2;2;2;2;2;2
3075421;1;3;3;2; ;1;5;2; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3075422;1;1;1;1;900000;2; ; ;1;1;2;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;1;70000;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;1;1;2;2;1;2;2;2;2; ;2;2;2;2;1;2;2;2;1
3075422;1;2;4;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;1;2;2;2;2
